TransactionID,Year,Month,SalePrice_GBP,ProfitMarginPct,Profit_GBP,BuyerAgeGroup,BuyerGender,BuyerRegion,PurchaseChannel,ResaleIntent
1,2023,1,12499.73,30.6,3824.92,30–44,Male,Midlands,Authorized Dealer,Sell Within 3y
2,2024,3,4534.19,33.9,1537.09,60+,Male,London,Pre-Owned Dealer,Hold Long-Term
3,2024,9,8955.85,35.9,3215.15,30–44,Female,North England,Authorized Dealer,Trade-In
4,2023,8,4712.66,35.0,1649.43,60+,Male,Midlands,Authorized Dealer,Trade-In
5,2023,7,6276.19,41.5,2604.62,45–59,Male,London,Authorized Dealer,Sell Within 3y
6,2024,6,8087.08,38.9,3145.87,60+,Male,North England,Authorized Dealer,Sell Within 3y
7,2024,5,3865.7,30.9,1194.5,45–59,Female,North England,Authorized Dealer,Sell Within 3y
8,2023,10,5683.81,39.8,2262.16,60+,Male,Scotland,Online Boutique,Hold Long-Term
9,2024,8,6649.35,34.5,2294.03,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
10,2023,10,8117.7,33.1,2686.96,45–59,Female,Wales,Authorized Dealer,Sell Within 3y
11,2024,6,6065.52,38.8,2353.42,60+,Male,London,Authorized Dealer,Hold Long-Term
12,2024,1,20496.33,38.0,7788.61,30–44,Male,Wales,Authorized Dealer,Sell Within 3y
13,2024,7,14083.92,36.5,5140.63,30–44,Male,London,Pre-Owned Dealer,Trade-In
14,2024,10,2749.29,31.6,868.78,45–59,Male,South East,Pre-Owned Dealer,Trade-In
15,2024,9,6954.61,36.3,2524.52,60+,Female,London,Authorized Dealer,Trade-In
16,2024,2,8279.81,29.8,2467.38,45–59,Male,South East,Authorized Dealer,Hold Long-Term
17,2023,9,7606.98,39.6,3012.36,30–44,Female,London,Pre-Owned Dealer,Sell Within 3y
18,2023,8,11570.68,34.4,3980.31,60+,Male,Midlands,Pre-Owned Dealer,Trade-In
19,2023,1,2112.68,35.4,747.89,45–59,Female,South East,Authorized Dealer,Trade-In
20,2023,1,4316.37,39.2,1692.02,30–44,Female,Midlands,Authorized Dealer,Sell Within 3y
21,2024,8,12295.02,34.8,4278.67,60+,Female,North England,Pre-Owned Dealer,Sell Within 3y
22,2023,1,10785.71,38.2,4120.14,60+,Female,London,Authorized Dealer,Trade-In
23,2024,12,16550.82,32.2,5329.36,Under 30,Female,Wales,Authorized Dealer,Hold Long-Term
24,2023,12,12860.84,37.2,4784.23,60+,Male,London,Authorized Dealer,Trade-In
25,2023,4,3969.94,40.4,1603.86,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
26,2023,11,10036.24,26.7,2679.68,45–59,Male,Wales,Authorized Dealer,Sell Within 3y
27,2023,3,5924.74,33.5,1984.79,45–59,Female,London,Authorized Dealer,Sell Within 3y
28,2024,6,7211.99,36.3,2617.95,45–59,Male,Scotland,Authorized Dealer,Trade-In
29,2023,2,6784.64,34.9,2367.84,60+,Female,Wales,Pre-Owned Dealer,Trade-In
